"text,label,source,topic,language
""Cadena de WhatsApp afirma que tomar agua caliente cada 15 minutos elimina el COVID-19."",0,""WhatsApp"",""salud"",""es""
""El Ministerio de Salud publica informe oficial sobre la reducción de contagios gracias al plan nacional de vacunación."",1,""minsalud.gov"",""salud"",""es""
""Un blog anónimo asegura que la tierra será plana según nuevos documentos secretos de la NASA."",0,""blogdesconocido.com"",""ciencia"",""es""
""Investigadores de la Universidad Nacional presentan estudio revisado por pares sobre la calidad del aire en Bogotá."",1,""unal.edu.co"",""ciencia"",""es""
""Video viral en redes dice que las vacunas contra la COVID-19 contienen microchips para controlar a la población."",0,""Facebook"",""salud"",""es""
""La Organización Mundial de la Salud actualiza las recomendaciones sobre el uso de mascarillas en espacios cerrados."",1,""who.int"",""salud"",""es""
""Portal sensacionalista afirma que una persona ganó la lotería tres veces seguidas gracias a un ritual mágico."",0,""noticiasasombrosas.net"",""entretenimiento"",""es""
""El DANE publica las cifras oficiales de inflación correspondientes al último trimestre del año."",1,""dane.gov.co"",""economia"",""es""
""Publicación en redes sociales asegura que beber cloro purifica la sangre y previene enfermedades."",0,""Instagram"",""salud"",""es""
""El Banco de la República anuncia una reducción en la tasa de interés de referencia para estimular la economía."",1,""banrep.gov.co"",""economia"",""es""
""Artículo sin fuentes afirma que la universidad eliminará todos los exámenes finales este semestre."",0,""rumoruniversitario.com"",""educacion"",""es""
""La Escuela Colombiana de Ingeniería publica la agenda oficial de eventos académicos para el próximo semestre."",1,""escuelaing.edu.co"",""educacion"",""es""
""Tweet viral dice que un famoso actor ha fallecido, pero no hay confirmación de medios oficiales."",0,""Twitter"",""entretenimiento"",""es""
""Agencia Espacial Europea confirma el lanzamiento exitoso de un nuevo satélite de observación terrestre."",1,""esa.int"",""ciencia"",""es""
""Página conspirativa asegura que el café fue prohibido en Europa desde el año pasado."",0,""teoriasdeldia.net"",""sociedad"",""es""
""ONU presenta nuevo informe sobre cambio climático con datos recopilados por más de 100 países."",1,""un.org"",""medio ambiente"",""es""
""Cadena en Facebook dice que el uso de 5G causa pérdida inmediata de memoria en las personas."",0,""Facebook"",""tecnologia"",""es""
""Un grupo de científicos publica en una revista indexada los resultados de un experimento sobre energías renovables."",1,""nature.com"",""medio ambiente"",""es""
""Blog sin identificación sostiene que dormir menos de 3 horas al día aumenta la inteligencia de forma permanente."",0,""blogmisterioso.org"",""salud"",""es""
""Ministerio de Educación anuncia oficialmente nuevas becas para estudiantes de bajos recursos."",1,""mineducacion.gov"",""educacion"",""es""
"